Time	Detection	N	maxAmp	geoMax	meanSNR	maxSNR	Class	closestBor	Vup	Vdown
2023-02-15 10:00:11.811	110110110110100010000000000	10	   594.1	6	   5.7	    8.4	Inspect	NaN	NaN	NaN
2023-02-15 10:39:37.408	011101111111100000000000000	11	   570.3	7	   5.8	    8.4	Inspect	NaN	NaN	NaN
2023-02-15 17:06:44.680	110111111111111111000010000	18	  1133.6	6	   6.7	    9.8	Inspect	NaN	NaN	NaN
2023-02-15 19:44:21.241	000100100110010010010010000	8	  2655.6	6	   5.8	    7.7	HF_6	6	470	600
2023-02-15 19:44:28.074	110001010010000001101001000	9	  3905.2	6	   4.6	    5.6	Inspect	NaN	NaN	NaN
2023-02-15 19:44:35.117	000010110110111100010110000	12	  3299.7	1	   4.1	    5.1	Inspect	NaN	NaN	NaN
2023-02-15 19:44:45.859	000110100100010010000110000	8	  3285.3	6	   4.8	    8.6	Inspect	NaN	NaN	NaN
2023-02-15 19:44:54.091	000110100100010110010010000	9	  2582.2	1	   4.8	    6.1	Inspect	NaN	NaN	NaN
2023-02-15 19:45:06.701	100110110101011011010010000	13	   894.1	1	   4.4	    6.6	Inspect	NaN	NaN	NaN
2023-02-15 19:45:18.273	010110111101111111110110000	18	  1566.4	1	   4.5	    5.3	Inspect	NaN	NaN	NaN
2023-02-15 19:46:04.270	000110110010000010000110000	8	  1032.0	1	   5.2	    6.9	Inspect	NaN	NaN	NaN
2023-02-15 20:36:57.715	001001011010000011111000000	10	 19287.7	6	   9.2	   13.4	HF_8	8	1410	NaN
2023-02-15 22:22:10.030	000110110110100100000000000	8	   593.9	7	   5.7	    7.7	Inspect	NaN	NaN	NaN
2023-02-15 23:49:39.858	000110110110110100000110000	11	   555.8	7	   6.2	    8.7	HF_6	5	660	2780
2023-02-16 00:26:25.354	001111111111111011001000000	16	  2037.8	5	  18.1	  113.8	HF_5	5	1600	1330
2023-02-16 08:59:38.609	001001111101000000100000000	8	   690.5	1	   5.8	   12.2	HF_1	1	NaN	975
2023-02-16 09:08:02.876	111101111101000000100000000	11	   636.4	8	   5.9	    9.4	HF_8	8	600	NaN
2023-02-16 10:26:07.295	111111111111111111111111000	24	  7348.8	6	  69.8	  145.4	Tremor-like	NaN	NaN	NaN
2023-02-16 14:34:16.163	110110110110100010000010000	11	   566.7	7	  11.2	   35.8	HF_1	1	NaN	1365
2023-02-17 02:06:33.880	111111111111111001000000000	16	  1837.5	1	  16.8	   48.6	HF_1	1	NaN	765
2023-02-17 10:29:21.443	001101111101100000000000000	9	   798.7	1	  10.0	   35.1	HF_1	1	NaN	1460
2023-02-17 11:15:41.042	001001001111100000000110000	9	   585.3	4	  11.9	   94.5	HF_4	4	1535	1025
2023-02-17 12:04:47.178	011100111101100000000000000	9	   666.4	1	   8.4	   33.4	HF_1	1	NaN	1055
2023-02-17 18:00:49.427	001000111111011101000000000	11	  1450.0	1	   9.7	   25.9	HF_1	1	NaN	730
2023-02-18 00:37:04.258	001111111111111100000110000	16	   523.1	7	  11.3	   43.1	HF_2	2	255	3120
