Time	Detection	N	maxAmp	geoMax	meanSNR	maxSNR	Class	closestBor	Vup	Vdown
2023-01-01 03:01:50.616	000001000100110110111111000	12	  3341.4	7	  25.7	  246.9	HF_7	7	1085	1480
2023-01-01 05:35:43.249	111111110110100110000000000	13	   468.2	8	  12.7	   54.5	HF_2	NaN	NaN	NaN
2023-01-01 07:19:23.690	011001001111111011101000000	14	  2072.0	5	  22.8	  179.7	HF_5	5	675	875
2023-01-01 07:24:12.970	001001001111111011000000000	11	  1795.8	5	  18.5	  130.6	HF_5	5	1425	1170
2023-01-01 07:35:26.297	000001001111111011100000000	11	  1025.8	5	  13.2	   94.9	HF_5	5	1635	600
2023-01-01 08:08:37.664	001111110111111110100000000	15	   441.3	8	  10.3	   28.2	HF_2	2	NaN	2095
2023-01-01 08:58:11.920	000001010101110111100000000	10	   651.9	6	  13.7	  107.3	HF_6	6	1320	NaN
2023-01-01 09:55:47.390	000111110110110110100110000	14	   472.7	5	  14.4	   56.6	HF_5	5	2400	1345
2023-01-01 10:00:00.957	111111111111110110000000000	16	   642.6	2	  33.6	  122.6	HF_2	2	875	690
2023-01-01 10:37:28.501	001001111111111111000000000	14	  2084.3	5	  26.8	  227.7	HF_5	NaN	NaN	NaN
2023-01-01 12:10:24.606	000110100110100110000000000	8	   394.3	8	   6.5	   14.5	HF_4	4	220	NaN
2023-01-01 12:10:36.050	001111111111111110100110000	18	   542.2	5	  20.9	   63.7	HF_8	8	1275	NaN
2023-01-01 18:38:59.274	001001111111111111000000000	14	  5735.7	5	  38.3	  306.3	HF_5	5	1825	1065
2023-01-02 00:05:39.784	000000000101111110100000000	8	   804.1	5	  13.4	   96.1	HF_5	5	1380	1090
2023-01-02 05:06:35.901	111111111001000000100000000	11	  7722.0	1	  29.4	  250.4	HF_1	NaN	NaN	NaN
2023-01-02 06:34:38.984	011101111111111111101000000	18	 18126.0	6	 183.3	 2393.0	HF_6	6	1505	1460
2023-01-02 07:32:52.359	111111111001111111001001000	18	189807.1	5	4567.0	22109.2	Inspect	NaN	NaN	NaN
2023-01-02 08:00:42.692	111111111001100000000000000	11	 10233.2	1	  29.9	  211.3	HF_1	NaN	NaN	NaN
2023-01-02 09:32:37.043	110110000000100110100000000	8	  1743.6	6	  16.6	  130.1	HF_6	6	840	NaN
2023-01-02 09:34:32.936	011001111111111111000000000	15	  5821.6	5	  42.8	  381.6	HF_5	5	1110	710
2023-01-02 10:09:20.533	001101111111010000100000000	11	   715.4	1	  12.6	   48.9	HF_1	1	NaN	1460
2023-01-02 11:36:48.466	001111111101001000000000000	10	  1598.6	1	  16.5	   75.5	HF_1	1	NaN	840
2023-01-02 11:40:12.029	111111111101000000100000000	12	  2465.9	1	  22.7	  111.2	HF_1	1	NaN	1100
2023-01-02 12:19:37.934	001111001101000000100000000	8	   997.8	1	  11.6	   50.8	HF_1	1	NaN	760
2023-01-02 13:15:00.506	000001010101010000100111000	9	   905.9	8	   9.6	   49.4	HF_8	NaN	NaN	NaN
2023-01-02 15:34:51.326	000000110010110100100110000	9	   440.8	8	  12.1	   50.3	HF_8	NaN	NaN	NaN
2023-01-02 15:38:34.407	000001001111111010000000000	9	   891.3	5	  14.1	   89.7	HF_5	5	715	475
2023-01-02 18:19:13.450	001001111111111111101111000	19	  2803.7	8	  27.5	  192.4	HF_8	8	1170	NaN
2023-01-02 19:20:58.753	111111111111110110100000000	17	   592.4	6	  26.3	  106.9	HF_2	2	385	1310
2023-01-02 20:05:17.189	000110110010100110000000000	8	   404.2	8	   9.3	   50.4	HF_3	3	645	525
2023-01-02 20:54:48.291	111111111110100110100000000	15	   455.7	8	  13.4	   45.2	HF_2	2	NaN	2680
2023-01-03 00:33:58.998	000000000000000000000000000	0	  2004.0	7	  15.1	   28.2	Inspect	NaN	NaN	NaN
2023-01-03 03:42:45.526	100010110110100100000000000	8	   426.7	8	   9.0	   35.0	HF_4	4	1785	935
2023-01-03 05:06:30.159	000000000001001001101111000	8	  1823.3	8	  12.4	   97.0	HF_8	8	1220	NaN
2023-01-03 06:36:53.341	111111111001000000100000000	11	  6001.1	1	  29.2	  288.9	HF_1	NaN	NaN	NaN
2023-01-03 07:33:58.533	110100000111111000000000000	9	  1219.2	1	  16.1	   60.3	HF_1	1	NaN	1510
2023-01-03 09:10:11.640	111111111001000000100000000	11	  8543.3	1	   9.3	   19.4	HF_1	NaN	NaN	NaN
2023-01-03 09:12:48.506	111111111001000000100000000	11	  7752.6	1	  17.9	  186.4	HF_1	NaN	NaN	NaN
2023-01-03 09:13:02.497	001011111110100110000000000	11	  1793.5	1	  12.8	   56.2	HF_1	NaN	NaN	NaN
2023-01-03 12:32:04.656	001011111000100000100000000	8	  6523.3	1	  14.6	  127.6	HF_1	NaN	NaN	NaN
2023-01-03 14:11:13.761	111101111001000000100000000	10	 10691.3	1	  19.9	   94.4	HF_1	NaN	NaN	NaN
2023-01-03 14:12:32.468	111111111000000000100000000	10	  4522.6	1	  23.3	  246.0	HF_1	NaN	NaN	NaN
2023-01-03 15:37:58.870	111111111001000000100000000	11	  7709.5	1	  29.2	  298.7	HF_1	NaN	NaN	NaN
2023-01-03 15:52:58.738	001101111111111111111111000	21	 31107.7	7	 275.2	 2080.4	Inspect	NaN	NaN	NaN
2023-01-04 01:15:17.001	111111111111110110100010000	18	   853.1	1	  42.6	  120.0	Inspect	NaN	NaN	NaN
