Time	Detection	N	maxAmp	geoMax	meanSNR	maxSNR	Class	closestBor	Vup	Vdown
2025-09-01 00:01:57.103	001001001001111011100000000	10	   615.8	5	 13.6	 102.2	HF_5	5	1295	770
2025-09-01 00:33:36.938	111111111111111111111110000	23	   729.6	6	 21.3	  91.1	HF_6	6	1895	2030
2025-09-01 00:38:52.726	111111111001001000000000000	11	   569.1	1	 10.2	  38.9	HF_1	1	NaN	1730
2025-09-01 00:38:55.692	111111111011001001100000000	14	  8715.9	1	 27.3	 246.7	HF_1	1	NaN	1425
2025-09-01 02:40:51.587	001001001111111111100000000	13	   189.3	5	  8.9	  27.7	HF_5	5	2045	1915
2025-09-01 02:49:39.542	111111111111111111111100000	22	   170.2	8	 15.5	  24.0	Surface	NaN	NaN	NaN
2025-09-01 03:23:54.156	101001111111111111111010000	19	  8620.4	5	 85.0	 695.4	HF_5	5	1365	1180
2025-09-01 03:38:31.960	000110110110101101001000000	11	  2620.1	1	 46.8	 188.4	HF_1	1	NaN	1630
2025-09-01 04:28:23.122	111111111111111011100000000	18	   263.0	2	 10.6	  27.6	Inspect	NaN	NaN	NaN
2025-09-01 04:51:22.540	001011111011001001101000000	12	  1550.7	1	 15.3	  51.5	HF_1	1	NaN	1450
2025-09-01 04:51:28.711	001111111111111111111111000	22	  4703.2	6	171.7	 528.1	HF_6	6	2185	3695
2025-09-01 05:06:00.090	001111111111111111111110000	21	   486.8	6	 19.0	  64.3	Inspect	NaN	NaN	NaN
2025-09-01 05:38:24.834	100000000001111111111000000	11	   321.8	6	  9.0	  33.6	HF_6	6	2455	2655
2025-09-01 08:32:04.911	101001001111111111000000000	13	   251.9	5	 11.6	  45.6	HF_4	4	2155	1570
2025-09-01 08:32:57.622	101111111111111111111000000	20	  2846.5	5	 71.5	 427.5	HF_4	4	1065	1065
2025-09-01 09:12:26.147	101001001111111101001001000	14	   289.1	5	 11.5	  40.2	HF_4	4	1405	1240
2025-09-01 09:55:59.697	110000000001001001101111000	10	   688.4	8	  9.7	  60.8	HF_8	8	1460	NaN
2025-09-01 10:14:48.832	111001111001001000100000000	10	   397.3	1	  9.8	  37.6	HF_1	1	NaN	1420
2025-09-01 10:35:17.915	001001111011101001100000000	11	   403.7	1	  7.3	  17.7	HF_1	1	NaN	1380
2025-09-01 10:35:21.087	111011111111101001001000000	15	   759.7	1	 14.2	  45.3	HF_1	1	NaN	1300
2025-09-01 10:53:54.995	000001001001001001111110000	10	   605.1	7	 10.6	  90.4	HF_8	8	2070	NaN
2025-09-01 10:57:27.139	001001001111111001100000000	11	   408.7	4	 11.6	  70.5	HF_4	4	1675	1415
2025-09-01 12:28:39.324	111001111111111111101000000	18	  4889.2	5	 77.1	 859.5	HF_5	5	1670	1685
2025-09-01 12:30:56.920	001111001000111010100000000	10	   760.1	5	 18.0	 129.0	HF_5	5	NaN	10475
2025-09-01 12:39:37.271	001111111111111110000000000	15	   298.2	6	 11.7	  35.7	Surface	NaN	NaN	NaN
2025-09-01 12:41:44.807	001001111111111111111111000	20	   214.4	8	 11.5	  24.0	Inspect	1	NaN	NaN
2025-09-01 14:03:48.646	101001001001111111111111000	17	   775.0	7	 15.2	  87.5	HF_8	8	2310	NaN
2025-09-01 14:13:42.255	111111111111111111100110000	21	   250.3	6	  8.0	  22.0	Inspect	NaN	NaN	NaN
2025-09-01 15:48:47.098	100111111111111111110110000	20	   367.6	6	 19.4	  45.8	Surface	1	NaN	NaN
2025-09-01 16:04:16.093	111111111111111111100000000	19	   208.2	6	  8.8	  21.4	Inspect	1	NaN	NaN
2025-09-01 16:06:07.536	111111111111111111111110000	23	   179.5	2	 11.5	  21.5	Inspect	1	NaN	NaN
2025-09-01 16:34:28.827	000000000011101111111101000	12	  1360.9	7	 20.2	 178.1	HF_7	7	1855	1545
2025-09-01 16:41:01.971	110111001111111011000000000	14	   254.7	5	  9.3	  40.2	HF_5	4	2855	1780
2025-09-01 16:55:06.780	111111111111111111110000000	20	   383.3	6	 10.9	  35.6	Inspect	1	NaN	NaN
2025-09-01 17:40:54.922	111111111111111111111100000	22	   329.5	6	 12.0	  25.9	Inspect	NaN	NaN	NaN
2025-09-01 18:14:58.631	111111111111111111100000000	19	   919.2	6	 31.5	 153.9	Inspect	NaN	NaN	NaN
2025-09-01 18:41:36.765	101111111111111111101000000	19	  1496.6	1	 19.3	  75.7	HF_1	1	NaN	1455
2025-09-01 19:01:22.994	110011111111111111110110000	20	   328.6	1	  8.2	  15.8	Inspect	NaN	NaN	NaN
2025-09-01 19:32:43.404	010101111011001001001000000	11	  1320.0	1	 20.2	 100.4	HF_1	1	NaN	1465
2025-09-01 20:49:25.785	111011111111111111111111000	23	  7850.6	7	110.0	 851.0	HF_8	8	1845	NaN
2025-09-01 20:53:43.660	111001101000111001111000000	13	  2080.0	1	 10.4	  95.6	HF_7	7	1095	2795
2025-09-01 20:55:28.630	000000001111111111100000000	11	   324.3	5	 10.2	  52.2	HF_5	5	1795	1965
2025-09-01 22:34:30.503	111111111001001001111010000	16	  9973.8	1	 31.6	 499.9	HF_8	8	2290	NaN
2025-09-01 22:36:28.700	111111001111001000100000000	12	   413.9	4	 10.5	  70.6	HF_4	4	2185	2000
