Time	Detection	N	maxAmp	geoMax	meanSNR	maxSNR	Class	closestBor	Vup	Vdown
2024-07-01 00:34:24.968	111111111111111110000100000	18	  377.0	8	   9.9	   28.6	Inspect	NaN	NaN	NaN
2024-07-01 01:46:05.976	010110111110110110100100000	14	  406.1	1	  11.0	   21.0	Inspect	NaN	NaN	NaN
2024-07-01 01:59:14.914	001001111111111111111000000	17	 1036.4	6	  18.0	   53.0	HF_6	6	1410	1090
2024-07-01 02:02:01.103	110110010110100110100100000	12	  472.3	1	  11.5	   25.7	Inspect	NaN	NaN	NaN
2024-07-01 02:26:15.420	111111111111111110100000000	18	  526.3	6	   8.2	   21.9	Inspect	NaN	NaN	NaN
2024-07-01 04:49:04.524	111111111111111111111111000	24	11861.7	8	 106.0	  677.6	HF_8	8	1165	NaN
2024-07-01 09:54:51.427	111001111011001000000000000	10	 1025.4	1	   8.9	   37.4	HF_1	1	NaN	1665
2024-07-01 12:33:34.327	111111111111111111111111000	24	 1568.2	6	  24.5	   74.0	Inspect	NaN	NaN	NaN
2024-07-01 14:23:06.533	000000000011001001111111000	10	 1305.9	8	  12.0	   97.3	HF_8	8	1390	NaN
2024-07-01 19:13:53.510	000110110111110110110110000	15	  372.1	8	  11.7	   25.4	HF_8	8	1365	NaN
2024-07-01 19:53:01.388	110110110110110110000000000	12	  395.1	8	  13.9	   44.5	Inspect	NaN	NaN	NaN
2024-07-02 01:56:24.713	001001111111111111000000000	14	 2115.1	5	  44.9	  331.1	HF_4	4	1215	1105
2024-07-02 05:09:28.482	111111111111110110100000000	17	  462.1	1	  15.3	   35.9	Inspect	NaN	NaN	NaN
2024-07-02 08:43:08.776	111111111111111111110110000	22	  414.7	8	   8.3	   21.7	Inspect	NaN	NaN	NaN
2024-07-02 09:27:17.032	000001111111111111000000000	13	  519.3	5	  12.4	   69.7	HF_5	5	1385	960
2024-07-02 09:40:03.956	111111111110110110100000000	16	  371.2	6	   9.1	   49.4	Inspect	NaN	NaN	NaN
