Time	Detection	N	maxAmp	geoMax	meanSNR	maxSNR	Class	closestBor	Vup	Vdown
2024-11-08 04:06:54.747	001001101111111111101000000	15	   909.0	5	  16.0	  112.6	HF_6	5	1675	975
2024-11-08 04:29:46.572	011001111111111111111111000	21	  2891.7	8	  25.1	  151.1	HF_8	NaN	NaN	NaN
2024-11-08 04:29:49.136	000001101011111111111111000	17	  1661.5	8	  14.6	   84.7	HF_8	8	920	NaN
2024-11-08 06:58:50.933	000000001011101101111111000	13	  2167.1	8	  16.4	  108.9	HF_8	8	1390	NaN
2024-11-08 07:54:11.938	000001101111111111111000000	15	   928.0	6	  12.8	   40.6	HF_6	6	1525	1795
2024-11-08 08:35:39.592	000111111111111110110110000	18	   461.2	5	  15.8	   51.8	Inspect	NaN	NaN	NaN
2024-11-08 09:20:16.058	111011111011001001000000000	12	   521.8	1	   8.0	   19.9	HF_1	1	NaN	1430
2024-11-08 10:51:28.520	111011111111101000000100000	14	   789.3	1	  10.0	   21.3	HF_1	NaN	NaN	NaN
2024-11-08 10:59:42.510	011001111011101001000100000	12	   622.6	1	   8.2	   22.5	HF_1	NaN	NaN	NaN
2024-11-08 11:15:16.068	110110111111111111110100000	19	   544.3	6	   9.1	   27.6	Inspect	NaN	NaN	NaN
2024-11-08 12:49:36.170	111111111111101111111100000	21	  2068.6	1	   9.1	   16.4	HF_1	NaN	NaN	NaN
2024-11-08 12:50:11.613	111011111111111101111000000	19	  2140.0	1	  12.7	   29.1	HF_1	NaN	NaN	NaN
2024-11-08 12:51:36.385	001011111011101001001000000	12	  1605.0	1	   9.2	   19.4	HF_1	NaN	NaN	NaN
2024-11-08 13:55:10.891	110111111111111110110100000	19	   308.7	1	  11.8	   19.5	Inspect	NaN	NaN	NaN
2024-11-08 16:58:37.246	111111111111111111111100000	22	   561.8	6	  18.0	   73.9	Inspect	NaN	NaN	NaN
2024-11-08 19:14:53.990	111011111011001000000100000	12	   576.3	1	  11.2	   33.4	HF_1	NaN	NaN	NaN
2024-11-08 19:29:54.557	001001101011111111111111000	18	  3110.6	7	  29.5	  381.1	HF_7	7	1340	3145
2024-11-08 20:00:50.376	101001101011101111111100000	16	   748.9	7	  10.0	   54.9	HF_7	7	1310	1185
2024-11-08 23:13:07.358	111111111111111110010100000	19	   246.9	1	  15.3	   28.9	Inspect	NaN	NaN	NaN
2024-11-09 01:01:10.043	001001101111011111000000000	12	  1413.9	5	  19.8	  107.9	HF_5	5	1610	1340
2024-11-09 02:27:28.540	111011111001000000100000000	10	   484.9	1	  10.9	   71.5	HF_1	1	NaN	1220
2024-11-09 02:53:13.627	111111111111111110100000000	18	   265.2	8	  11.6	   24.7	HF_1	NaN	NaN	NaN
2024-11-09 05:41:27.044	001001001111111111110000000	14	   490.2	5	  14.9	   66.5	HF_5	5	1410	1030
2024-11-09 07:46:07.711	110001001111111111100000000	14	   469.5	5	  12.4	   44.1	HF_4	4	1020	1275
2024-11-09 08:51:01.754	001001101111111111000000000	13	   687.3	5	  14.6	   97.5	HF_5	5	1620	1480
2024-11-09 12:01:41.998	111011111111111111111000000	20	  1799.1	5	  50.1	  242.5	HF_5	5	1355	1000
2024-11-09 13:23:52.383	111111111111111110110110000	21	   282.0	6	  16.5	   41.9	Inspect	NaN	NaN	NaN
2024-11-09 13:33:13.480	111011111011001000000000000	11	   639.1	1	  12.7	   52.2	HF_1	1	NaN	1725
2024-11-09 16:39:17.396	001001101011001101111111000	15	   847.7	8	  11.2	   78.7	HF_8	8	1410	NaN
