Time	Detection	N	maxAmp	geoMax	meanSNR	maxSNR	Class	closestBor	Vup	Vdown
2022-10-01 04:09:48.578	010010110101011000000000000	8	   947.0	2	  11.0	   25.6	HF_1	1	NaN	990
2022-10-01 04:47:14.046	000000001101011011101111000	12	  1125.8	8	   7.9	   11.8	HF_8	8	1790	NaN
2022-10-01 06:14:07.699	110111111110110110010000000	15	   450.5	8	  13.3	   46.9	Inspect	NaN	NaN	NaN
2022-10-01 09:07:36.419	110110110110100110010000000	12	   476.8	6	  19.6	   60.9	Inspect	NaN	NaN	NaN
2022-10-01 09:15:35.428	111001111001000000010000000	9	   404.7	8	   9.8	   39.2	HF_1	1	NaN	1365
2022-10-01 09:35:17.374	001111111111000000010000000	11	  6491.4	2	  93.7	  808.0	HF_2	2	1600	1635
2022-10-01 09:35:48.785	101101111111011100010000000	14	 12384.3	2	  63.8	  173.5	HF_2	2	1685	1430
2022-10-01 09:36:24.358	001001111111111111010000000	15	  2859.8	1	  14.0	   34.1	HF_1	1	NaN	1135
2022-10-01 09:36:46.127	001111111111111111000000000	16	  4719.1	2	  40.6	  145.9	HF_2	2	1330	1445
2022-10-01 10:04:18.656	000001001111111111000000000	11	  3639.4	4	  53.4	  508.5	HF_4	4	1600	1455
2022-10-01 11:02:21.220	100110110110100110010000000	11	  1230.6	6	  43.3	  147.1	Inspect	NaN	NaN	NaN
2022-10-01 13:01:26.654	111111111111111111101000000	20	  9863.5	1	  30.5	   71.0	HF_1	1	NaN	1260
2022-10-01 14:28:54.200	001000001101111111110110000	14	  1163.2	7	  24.9	  132.5	HF_6	6	1895	1705
2022-10-01 16:03:29.382	111111111001000110000000000	12	  1758.0	1	  18.5	   74.3	HF_1	1	NaN	785
2022-10-01 17:36:45.051	111111111111111011010000000	18	  1183.5	3	  30.6	   78.9	HF_1	1	NaN	575
2022-10-01 18:47:49.386	001111111111111001000000000	14	  2069.4	1	  24.1	  135.5	HF_2	2	1135	1365
2022-10-01 18:48:18.101	011111111111111111111000000	20	  9261.0	2	 103.7	  759.8	HF_2	2	1705	1575
2022-10-01 20:11:55.802	001001111111011001010000000	12	   592.8	6	  14.5	   74.3	HF_6	6	1170	430
2022-10-01 20:45:52.390	001001111101111111111111000	19	  9303.4	7	  47.5	  317.0	HF_7	7	980	2185
2022-10-01 20:45:58.838	001001111110000000000001000	8	  9512.2	7	  26.8	   80.1	HF_7	7	1705	3410
2022-10-01 20:46:21.049	000000000000100110111110000	8	  3810.5	7	  27.3	  380.8	HF_7	7	1185	1065
2022-10-01 20:49:31.348	001001111111111111111111000	20	  9874.0	7	  94.9	 1208.2	HF_7	7	1745	2285
2022-10-01 20:51:10.197	001001111101111111111111000	19	  4401.5	7	  43.8	  476.6	HF_7	7	1325	4095
2022-10-02 02:12:52.069	000000010101111111001110000	12	  4085.6	7	  32.4	  364.1	HF_7	7	1785	2130
2022-10-02 02:27:44.508	111111111001111001001001000	16	287156.1	6	5947.1	46276.5	Inspect	NaN	NaN	NaN
2022-10-02 04:01:51.504	111111111111111111110110000	22	  5102.9	6	 146.4	  348.2	Inspect	NaN	NaN	NaN
2022-10-02 09:32:16.047	000110010111111111011000000	14	 10679.1	2	 103.6	  747.3	HF_2	2	1775	1545
2022-10-02 09:53:53.516	000000001111111111000000000	10	  1940.5	6	  23.0	  210.7	HF_5	5	1320	855
2022-10-02 16:08:19.923	110111111111111110010000000	17	   574.3	6	  10.3	   21.4	HF_6	NaN	NaN	NaN
2022-10-02 16:10:00.085	000110110110110110010000000	11	   545.4	6	  17.2	   41.9	Inspect	NaN	NaN	NaN
2022-10-02 16:12:00.041	111111111110100000010000000	13	  1171.6	1	  27.5	  114.0	HF_4	4	NaN	320
2022-10-02 16:19:49.415	001111001001001011100110000	12	   941.9	5	  27.4	  125.7	Inspect	NaN	NaN	NaN
