Time	Detection	N	maxAmp	geoMax	meanSNR	maxSNR	Class	closestBor	Vup	Vdown
2025-04-01 00:34:36.984	000000000011001101111101000	10	   570.6	7	  8.0	  26.2	HF_6	6	2275	2890
2025-04-01 01:21:02.768	000000001011101111111000000	11	   503.0	7	 11.4	  42.7	HF_6	6	1905	3010
2025-04-01 01:53:40.238	111111111111111111111110000	23	  1060.8	1	 38.0	  93.4	Inspect	1	NaN	NaN
2025-04-01 02:06:46.542	000000001011101111111110000	13	   519.7	7	 10.2	  34.6	HF_6	6	1895	2820
2025-04-01 02:28:46.797	111001011011001001000000000	10	   791.6	1	  6.0	  13.3	HF_1	1	NaN	1675
2025-04-01 05:05:43.032	110001001011001111111000000	13	   282.3	6	 12.3	  36.7	HF_6	6	2290	3720
2025-04-01 05:07:30.356	000000000011101111111110000	12	   526.7	7	  8.5	  22.7	HF_6	6	2075	2855
2025-04-01 05:13:45.186	001001101111111101111111000	18	  1451.9	8	 20.7	 132.1	HF_1	8	1280	NaN
2025-04-01 05:27:15.750	111111111111111111111111000	24	  3969.0	6	126.8	 631.3	Inspect	NaN	NaN	NaN
2025-04-01 05:33:45.731	111001111011001000000000000	10	   455.9	1	 10.7	  50.8	HF_1	1	NaN	1585
2025-04-01 05:52:40.200	000000001011101111111110000	13	   601.3	1	 16.5	 119.8	HF_6	6	1925	2000
2025-04-01 06:14:52.452	111001111011001001100000000	12	 52550.4	1	135.5	 498.1	HF_1	1	NaN	1590
2025-04-01 06:37:34.849	111111101001000000100000000	10	  9631.3	1	 24.6	 268.3	HF_6	6	1785	3335
2025-04-01 07:22:56.272	101111001011111111111111000	20	   518.5	7	 12.6	  42.7	HF_6	6	1925	2000
2025-04-01 07:58:46.589	100110010010110110110100000	12	   179.7	8	 16.4	  28.6	Surface	NaN	NaN	NaN
2025-04-01 08:08:25.225	101011001011001101111011000	15	   526.7	7	  8.3	  21.6	HF_6	6	2090	2620
2025-04-01 08:31:39.762	101111111111111111111100000	21	   492.8	6	 12.8	  33.1	Inspect	NaN	NaN	NaN
2025-04-01 08:31:41.673	111111111111111111111111000	24	  4636.6	6	387.4	 948.8	Inspect	NaN	NaN	NaN
2025-04-01 08:36:38.668	101001101011101101111111000	17	  1044.6	8	 15.8	 101.3	HF_8	8	1585	NaN
2025-04-01 08:37:23.515	111111111111111111111111111	27	  2790.9	1	420.2	 771.2	Surface	NaN	NaN	NaN
2025-04-01 08:53:49.606	000000001001001101111110000	10	   502.2	7	  9.8	  35.1	HF_6	6	1870	2455
2025-04-01 09:06:11.939	001111111111111111111110000	21	   602.1	6	 15.4	  46.5	Inspect	1	NaN	NaN
2025-04-01 09:09:21.082	001001001001001001101111000	11	   845.6	8	 11.7	  70.1	HF_8	8	1635	NaN
2025-04-01 09:39:34.471	000000001011111111111110000	14	   515.3	7	 11.6	  47.9	HF_6	6	1815	3410
2025-04-01 10:25:45.666	001001001011111111111100000	15	   471.0	7	 10.9	  42.5	HF_6	6	1980	2395
2025-04-01 10:27:46.415	101111111111111111110100000	20	   179.2	5	 10.9	  24.4	Inspect	NaN	NaN	NaN
2025-04-01 11:11:46.971	000000001001001101111110000	10	   503.2	7	  8.2	  23.3	HF_6	6	1860	2655
2025-04-01 12:16:06.323	000001001001001101111111000	12	   686.3	8	  9.4	  53.5	HF_8	8	1640	NaN
2025-04-01 12:28:12.123	111001101111111111001000000	16	  2015.1	1	 24.1	 181.9	HF_5	5	1690	1190
