Time	Detection	N	maxAmp	geoMax	meanSNR	maxSNR	Class	closestBor	Vup	Vdown
2022-11-01 07:29:35.666	111001111101001000000000000	10	  1836.7	1	  16.0	   51.3	HF_1	1	NaN	1580
2022-11-01 08:47:09.548	001001111111111011000000000	13	  1630.0	5	  16.8	   95.1	HF_5	5	1630	1250
2022-11-01 14:23:59.832	111111111111111111101100000	21	  2747.2	6	  41.3	  174.9	HF_6	6	1450	1480
2022-11-01 15:06:56.226	111111111111111001001001000	18	568800.3	6	5388.7	29151.4	Rockfall	NaN	NaN	NaN
2022-11-01 15:34:03.295	000000000001111111111110000	12	  5557.1	7	  37.4	  550.4	HF_7	7	1740	2665
2022-11-01 16:05:35.172	000000000001111011111111000	12	  3616.9	7	  25.8	  296.9	HF_7	7	975	1135
2022-11-01 18:28:33.646	001001111111111011101111000	18	  1341.0	8	  14.2	   73.2	HF_8	8	1430	NaN
2022-11-01 19:02:37.445	001001111111111111001000000	15	  1811.1	5	  22.8	  113.0	HF_5	5	1785	1280
2022-11-01 22:37:57.050	111111111111111111111111000	24	781251.7	8	4521.7	21602.8	HF_8	8	1530	NaN
2022-11-02 03:25:58.918	000001111111111011101111000	17	  1742.4	8	  13.8	   82.4	HF_8	8	1470	NaN
2022-11-02 05:40:46.543	000001001111111111000000000	11	   990.8	5	  14.2	   92.6	HF_5	NaN	NaN	NaN
2022-11-02 07:01:00.135	010000000101111011111000000	11	  3407.4	7	  27.6	  290.1	HF_7	7	1825	2560
2022-11-02 12:09:11.387	000001001111111111000000000	11	   861.0	5	  12.2	   52.2	HF_5	5	1825	1230
2022-11-02 23:48:35.338	000000000101011001101111000	10	  1696.9	8	  13.1	   90.9	HF_8	8	960	NaN
2022-11-03 07:23:18.634	011001111111111111000000000	15	  1988.3	5	  29.7	  188.3	HF_4	4	1470	1815
2022-11-03 10:55:55.459	000000110111111111111111000	17	  2858.3	5	  23.0	   96.9	HF_8	8	995	NaN
2022-11-03 11:05:16.755	101111111111111001010000000	16	  4450.9	2	  70.0	  490.3	HF_2	2	1665	1445
2022-11-03 11:06:40.776	111111111101011001000000000	14	  2157.4	2	  12.9	   48.2	HF_2	2	1330	1545
2022-11-03 14:06:58.495	001001111111111111000000000	14	  2689.2	5	  18.2	  119.7	HF_5	5	1510	1460
2022-11-03 19:21:56.410	111111111111111111100110000	21	   644.3	6	  25.5	   98.4	HF_3	3	560	2840
2022-11-04 02:31:15.172	011111111111111111100110000	20	  1269.3	5	  24.9	   87.5	HF_5	NaN	NaN	NaN
2022-11-04 07:15:09.093	001111111111110010000010000	14	   436.5	6	  16.1	   73.1	Inspect	NaN	NaN	NaN
2022-11-04 07:37:09.117	000001001101111111111111000	16	  2617.4	8	  32.6	  175.0	HF_8	8	1520	NaN
2022-11-04 09:14:22.369	111111111111111111111111000	24	 71130.8	5	 833.4	 4613.6	HF_5	4	1745	2045
2022-11-04 11:10:13.354	001001011111111111000000000	13	  1294.5	5	  14.8	   78.7	HF_5	5	1420	1065
2022-11-04 11:30:19.681	111111111111111111101111000	23	  1333.0	6	  53.1	  237.2	HF_5	5	1615	2425
2022-11-05 05:50:43.881	000001001101111111000000000	10	  1047.3	5	  11.9	   96.6	HF_5	5	1525	1600
2022-11-05 13:19:41.259	000001001111111111000000000	11	  1218.6	5	  16.4	   90.5	HF_5	5	1400	1275
2022-11-05 13:20:56.052	111111111111111111101001000	21	 20933.8	5	 188.1	 2015.7	HF_5	5	1490	1025
2022-11-06 00:24:30.084	000000000001111111100110000	10	   662.7	6	  13.9	   60.9	HF_6	6	1715	3255
2022-11-06 02:48:27.148	111111111111111110100000000	18	   987.3	6	  32.6	  137.9	Rockfall	NaN	NaN	NaN
