Time,AKN,Energy,Std
2025-06-01 00:00:00,331.1,17.9,12.7
2025-06-01 00:05:00,331.1,17.9,12.7
2025-06-01 00:10:00,328.8,17.9,12.8
2025-06-01 00:15:00,314.7,17.7,12.9
2025-06-01 00:20:00,295.9,18.5,12.5
2025-06-01 00:25:00,307.7,20.4,12.4
2025-06-01 00:30:00,324.2,22.5,13.3
2025-06-01 00:35:00,333.6,24.2,14.2
2025-06-01 00:40:00,290.5,25.4,13.8
2025-06-01 00:45:00,244.2,25.6,13.9
2025-06-01 00:50:00,205.2,25.4,14.5
2025-06-01 00:55:00,189.8,24.5,15.0
2025-06-01 01:00:00,182.9,24.5,15.5
2025-06-01 01:05:00,186.2,24.4,15.4
2025-06-01 01:10:00,184.1,24.8,16.2
2025-06-01 01:15:00,188.6,24.8,16.4
2025-06-01 01:20:00,185.5,24.2,15.9
2025-06-01 01:25:00,188.1,21.5,13.2
2025-06-01 01:30:00,185.7,19.3,12.4
2025-06-01 01:35:00,189.9,19.3,12.4
2025-06-01 01:40:00,186.8,20.5,12.7
2025-06-01 01:45:00,187.4,20.3,12.7
2025-06-01 01:50:00,191.5,18.8,12.6
2025-06-01 01:55:00,204.9,17.6,12.9
2025-06-01 02:00:00,212.2,17.6,12.9
2025-06-01 02:05:00,210.9,17.6,13.0
2025-06-01 02:10:00,214.8,17.8,12.9
2025-06-01 02:15:00,217.2,18.0,12.9
2025-06-01 02:20:00,221.4,18.0,12.8
2025-06-01 02:25:00,216.9,17.8,12.8
2025-06-01 02:30:00,213.7,17.7,12.8
2025-06-01 02:35:00,220.4,18.1,12.7
2025-06-01 02:40:00,216.7,21.6,11.9
2025-06-01 02:45:00,221.3,26.2,11.8
2025-06-01 02:50:00,221.9,30.1,11.7
2025-06-01 02:55:00,228.5,30.6,10.6
2025-06-01 03:00:00,231.5,29.9,10.4
2025-06-01 03:05:00,232.6,30.3,10.8
2025-06-01 03:10:00,238.5,31.0,11.5
2025-06-01 03:15:00,246.4,32.1,12.3
2025-06-01 03:20:00,261.7,32.3,11.7
2025-06-01 03:25:00,256.3,32.5,10.9
2025-06-01 03:30:00,270.4,32.3,10.5
2025-06-01 03:35:00,259.3,32.1,10.1
2025-06-01 03:40:00,262.6,35.1,10.2
2025-06-01 03:45:00,263.3,35.8,10.5
2025-06-01 03:50:00,266.8,35.8,11.3
2025-06-01 03:55:00,289.4,33.3,11.8
2025-06-01 04:00:00,299.5,32.4,11.9
2025-06-01 04:05:00,314.0,32.7,12.2
2025-06-01 04:10:00,314.6,31.1,11.2
2025-06-01 04:15:00,301.5,30.4,10.8
2025-06-01 04:20:00,298.5,29.6,10.6
2025-06-01 04:25:00,291.8,30.2,10.8
2025-06-01 04:30:00,288.8,30.7,11.1
2025-06-01 04:35:00,288.4,30.9,11.2
2025-06-01 04:40:00,295.1,30.8,11.1
2025-06-01 04:45:00,312.4,31.1,11.2
2025-06-01 04:50:00,319.9,30.8,11.0
2025-06-01 04:55:00,332.9,29.1,10.8
2025-06-01 05:00:00,337.9,24.7,11.1
2025-06-01 05:05:00,346.5,21.0,11.8
2025-06-01 05:10:00,342.5,20.3,11.6
2025-06-01 05:15:00,337.3,22.3,11.1
2025-06-01 05:20:00,333.2,23.9,11.3
2025-06-01 05:25:00,341.4,23.5,11.9
2025-06-01 05:30:00,334.3,22.5,12.0
2025-06-01 05:35:00,321.7,22.8,12.3
2025-06-01 05:40:00,315.4,25.4,12.4
2025-06-01 05:45:00,325.4,25.3,12.9
2025-06-01 05:50:00,322.6,25.0,12.8
2025-06-01 05:55:00,320.3,24.7,12.7
2025-06-01 06:00:00,312.0,31.0,13.8
2025-06-01 06:05:00,324.7,40.1,17.4
2025-06-01 06:10:00,321.3,43.7,19.0
2025-06-01 06:15:00,325.5,40.5,16.9
2025-06-01 06:20:00,336.1,32.5,13.5
2025-06-01 06:25:00,339.8,27.4,12.6
2025-06-01 06:30:00,340.3,25.5,13.0
2025-06-01 06:35:00,322.5,23.7,12.9
2025-06-01 06:40:00,321.7,22.2,12.9
2025-06-01 06:45:00,333.6,20.9,12.8
2025-06-01 06:50:00,342.8,22.9,12.7
2025-06-01 06:55:00,350.1,22.2,12.4
2025-06-01 07:00:00,332.0,21.2,12.4
2025-06-01 07:05:00,334.0,18.7,12.7
2025-06-01 07:10:00,326.0,20.2,12.6
2025-06-01 07:15:00,321.6,21.9,13.2
2025-06-01 07:20:00,325.7,22.2,13.4
2025-06-01 07:25:00,319.6,22.7,13.3
2025-06-01 07:30:00,322.9,23.5,13.3
2025-06-01 07:35:00,310.6,25.1,13.9
2025-06-01 07:40:00,322.1,24.8,13.9
2025-06-01 07:45:00,338.2,24.3,13.4
2025-06-01 07:50:00,396.5,26.3,14.2
2025-06-01 07:55:00,448.6,27.3,14.7
2025-06-01 08:00:00,508.7,27.0,14.8
2025-06-01 08:05:00,494.6,24.0,13.8
2025-06-01 08:10:00,437.9,23.0,13.4
2025-06-01 08:15:00,375.4,23.5,13.2
2025-06-01 08:20:00,346.4,25.1,13.4
2025-06-01 08:25:00,350.6,28.7,14.8
2025-06-01 08:30:00,396.2,29.1,14.9
2025-06-01 08:35:00,468.2,28.0,14.1
2025-06-01 08:40:00,505.0,24.2,12.6
2025-06-01 08:45:00,515.8,25.0,12.3
2025-06-01 08:50:00,520.0,26.7,12.2
2025-06-01 08:55:00,593.0,28.7,12.4
2025-06-01 09:00:00,558.4,28.1,12.1
2025-06-01 09:05:00,528.2,25.2,11.4
2025-06-01 09:10:00,434.9,25.4,11.5
2025-06-01 09:15:00,503.6,24.1,11.7
2025-06-01 09:20:00,454.3,25.8,12.0
2025-06-01 09:25:00,452.9,24.0,11.9
2025-06-01 09:30:00,409.3,24.0,11.9
2025-06-01 09:35:00,518.6,22.4,12.0
2025-06-01 09:40:00,669.8,21.5,12.0
2025-06-01 09:45:00,634.2,21.3,12.1
2025-06-01 09:50:00,544.7,21.6,12.3
2025-06-01 09:55:00,382.3,23.6,12.2
2025-06-01 10:00:00,385.2,32.2,13.4
2025-06-01 10:05:00,378.4,54.8,26.5
2025-06-01 10:10:00,411.7,60.0,30.8
2025-06-01 10:15:00,412.3,58.0,29.6
2025-06-01 10:20:00,455.5,40.8,18.5
2025-06-01 10:25:00,425.5,46.1,22.4
2025-06-01 10:30:00,416.9,46.6,22.7
2025-06-01 10:35:00,382.3,45.2,21.7
2025-06-01 10:40:00,401.6,35.1,14.8
2025-06-01 10:45:00,487.9,30.7,13.0
2025-06-01 10:50:00,474.5,29.7,12.8
2025-06-01 10:55:00,454.4,29.2,12.6
2025-06-01 11:00:00,358.3,29.2,12.5
2025-06-01 11:05:00,357.3,29.3,12.3
2025-06-01 11:10:00,347.6,30.9,12.9
2025-06-01 11:15:00,351.8,30.0,12.5
2025-06-01 11:20:00,355.6,29.1,12.1
2025-06-01 11:25:00,388.7,26.3,12.0
2025-06-01 11:30:00,406.8,24.8,12.2
2025-06-01 11:35:00,448.1,23.7,12.2
2025-06-01 11:40:00,452.0,26.4,12.1
2025-06-01 11:45:00,439.4,28.8,12.3
2025-06-01 11:50:00,390.8,31.6,13.2
2025-06-01 11:55:00,371.5,32.9,14.0
2025-06-01 12:00:00,382.6,33.0,14.0
2025-06-01 12:05:00,376.6,33.3,14.4
2025-06-01 12:10:00,362.5,31.5,13.8
2025-06-01 12:15:00,339.4,41.4,19.2
2025-06-01 12:20:00,341.4,41.2,18.7
2025-06-01 12:25:00,346.3,38.9,16.9
2025-06-01 12:30:00,344.8,28.6,12.2
2025-06-01 12:35:00,349.8,25.0,11.9
2025-06-01 12:40:00,347.5,24.9,12.5
2025-06-01 12:45:00,350.5,22.1,12.7
2025-06-01 12:50:00,331.5,21.1,12.7
2025-06-01 12:55:00,321.4,20.5,12.6
2025-06-01 13:00:00,337.9,24.0,12.0
2025-06-01 13:05:00,351.9,26.2,12.1
2025-06-01 13:10:00,387.0,27.0,11.9
2025-06-01 13:15:00,378.3,26.2,11.9
2025-06-01 13:20:00,390.8,26.5,11.9
2025-06-01 13:25:00,357.2,27.9,12.2
2025-06-01 13:30:00,346.4,26.6,11.8
2025-06-01 13:35:00,322.5,26.1,11.6
2025-06-01 13:40:00,326.8,25.1,11.7
2025-06-01 13:45:00,325.0,26.3,11.9
2025-06-01 13:50:00,333.7,26.3,12.4
2025-06-01 13:55:00,326.2,27.2,12.5
2025-06-01 14:00:00,329.9,31.4,13.2
2025-06-01 14:05:00,338.9,43.6,19.7
2025-06-01 14:10:00,364.9,55.5,28.7
2025-06-01 14:15:00,386.6,57.3,31.2
2025-06-01 14:20:00,391.4,45.5,23.0
2025-06-01 14:25:00,374.2,33.3,15.8
2025-06-01 14:30:00,353.4,24.1,12.3
2025-06-01 14:35:00,332.8,21.9,12.3
2025-06-01 14:40:00,347.0,20.4,12.3
2025-06-01 14:45:00,354.3,20.9,12.4
2025-06-01 14:50:00,351.5,21.2,12.5
2025-06-01 14:55:00,332.0,21.6,12.4
2025-06-01 15:00:00,315.6,22.8,12.5
2025-06-01 15:05:00,319.1,23.5,12.2
2025-06-01 15:10:00,320.7,25.3,12.0
2025-06-01 15:15:00,324.2,26.5,12.1
2025-06-01 15:20:00,320.2,27.1,12.3
2025-06-01 15:25:00,305.8,27.4,12.3
2025-06-01 15:30:00,302.6,32.4,13.7
2025-06-01 15:35:00,300.2,36.8,16.4
2025-06-01 15:40:00,331.4,34.7,15.4
2025-06-01 15:45:00,331.5,27.5,12.6
2025-06-01 15:50:00,338.3,24.9,11.8
2025-06-01 15:55:00,317.6,40.0,18.1
2025-06-01 16:00:00,322.1,56.8,30.2
2025-06-01 16:05:00,319.9,61.2,33.6
2025-06-01 16:10:00,333.6,48.5,23.6
2025-06-01 16:15:00,325.9,33.0,14.1
2025-06-01 16:20:00,325.5,30.2,12.8
2025-06-01 16:25:00,313.0,31.5,12.4
2025-06-01 16:30:00,313.7,35.4,13.2
2025-06-01 16:35:00,318.2,36.3,13.9
2025-06-01 16:40:00,321.8,35.0,13.3
2025-06-01 16:45:00,327.4,32.1,12.7
2025-06-01 16:50:00,330.2,28.5,11.7
2025-06-01 16:55:00,328.2,27.3,11.7
2025-06-01 17:00:00,326.1,26.5,11.4
2025-06-01 17:05:00,326.7,26.9,11.3
2025-06-01 17:10:00,332.5,27.0,11.3
2025-06-01 17:15:00,335.5,25.7,11.8
2025-06-01 17:20:00,333.6,23.7,12.2
2025-06-01 17:25:00,325.5,22.6,12.4
2025-06-01 17:30:00,334.0,22.0,12.2
2025-06-01 17:35:00,334.7,22.0,12.0
2025-06-01 17:40:00,349.2,23.3,11.9
2025-06-01 17:45:00,353.7,26.2,11.7
2025-06-01 17:50:00,353.4,26.4,11.9
2025-06-01 17:55:00,350.6,24.6,12.2
2025-06-01 18:00:00,350.4,21.6,12.3
2025-06-01 18:05:00,357.8,21.7,12.7
2025-06-01 18:10:00,348.7,22.3,12.7
2025-06-01 18:15:00,359.8,22.9,13.1
2025-06-01 18:20:00,358.7,22.6,12.5
2025-06-01 18:25:00,365.7,22.5,12.7
2025-06-01 18:30:00,358.6,22.9,12.9
2025-06-01 18:35:00,351.4,22.3,12.8
2025-06-01 18:40:00,353.8,23.6,12.4
2025-06-01 18:45:00,351.0,24.2,11.7
2025-06-01 18:50:00,362.0,24.4,11.6
2025-06-01 18:55:00,356.9,21.8,11.6
2025-06-01 19:00:00,378.8,20.5,12.2
2025-06-01 19:05:00,396.6,20.9,12.5
2025-06-01 19:10:00,417.1,22.9,13.0
2025-06-01 19:15:00,395.2,25.7,12.9
2025-06-01 19:20:00,385.1,27.3,12.6
2025-06-01 19:25:00,448.1,27.2,12.2
2025-06-01 19:30:00,560.0,25.4,12.3
2025-06-01 19:35:00,919.9,23.9,12.9
2025-06-01 19:40:00,926.2,22.7,13.1
2025-06-01 19:45:00,889.9,21.3,13.0
2025-06-01 19:50:00,577.0,20.2,12.6
2025-06-01 19:55:00,532.3,20.6,12.8
2025-06-01 20:00:00,473.7,21.2,13.1
2025-06-01 20:05:00,428.6,21.9,13.6
2025-06-01 20:10:00,395.3,21.6,13.3
2025-06-01 20:15:00,391.7,22.3,13.7
2025-06-01 20:20:00,391.7,22.7,13.8
2025-06-01 20:25:00,387.9,22.8,13.6
2025-06-01 20:30:00,374.4,22.3,13.1
2025-06-01 20:35:00,363.2,22.0,12.7
2025-06-01 20:40:00,377.3,22.4,12.7
2025-06-01 20:45:00,371.3,22.9,12.7
2025-06-01 20:50:00,370.3,23.5,12.6
2025-06-01 20:55:00,358.2,24.5,12.4
2025-06-01 21:00:00,368.5,24.6,12.3
2025-06-01 21:05:00,383.6,25.5,12.2
2025-06-01 21:10:00,383.8,24.6,12.3
2025-06-01 21:15:00,382.8,25.5,12.2
2025-06-01 21:20:00,368.7,26.2,12.1
2025-06-01 21:25:00,360.6,30.9,13.3
2025-06-01 21:30:00,351.2,32.0,13.6
2025-06-01 21:35:00,355.9,32.8,13.9
2025-06-01 21:40:00,354.1,29.1,12.5
2025-06-01 21:45:00,344.7,31.1,13.3
2025-06-01 21:50:00,331.9,32.4,13.7
2025-06-01 21:55:00,329.6,35.0,15.0
2025-06-01 22:00:00,344.8,32.9,13.9
2025-06-01 22:05:00,347.9,34.0,12.0
2025-06-01 22:10:00,350.8,30.6,11.7
2025-06-01 22:15:00,350.7,28.1,12.0
2025-06-01 22:20:00,358.4,22.8,13.1
2025-06-01 22:25:00,354.1,21.7,12.8
2025-06-01 22:30:00,340.2,21.5,12.9
2025-06-01 22:35:00,323.4,21.0,12.7
2025-06-01 22:40:00,326.7,20.9,12.7
2025-06-01 22:45:00,343.2,21.6,13.1
2025-06-01 22:50:00,352.7,22.3,13.5
2025-06-01 22:55:00,366.7,22.7,13.9
2025-06-01 23:00:00,351.7,22.3,13.3
2025-06-01 23:05:00,357.0,22.1,13.2
2025-06-01 23:10:00,343.8,22.6,13.1
2025-06-01 23:15:00,355.8,22.7,12.9
2025-06-01 23:20:00,356.5,23.3,13.0
2025-06-01 23:25:00,358.8,24.9,13.3
2025-06-01 23:30:00,354.7,24.8,13.2
2025-06-01 23:35:00,345.9,24.4,13.0
2025-06-01 23:40:00,357.6,22.9,12.6
2025-06-01 23:45:00,348.1,23.2,12.7
2025-06-01 23:50:00,349.0,22.8,12.6
2025-06-01 23:55:00,335.9,22.3,12.7
2025-06-02 00:00:00,,,
2025-06-02 00:05:00,350.9,22.4,13.5
2025-06-02 00:10:00,346.5,22.8,13.8
