Time,Energy,Std
2023-12-01 00:00:00,,
2023-12-01 00:05:00,42.0,28.5
2023-12-01 00:10:00,42.6,28.4
2023-12-01 00:15:00,43.1,28.3
2023-12-01 00:20:00,43.3,28.3
2023-12-01 00:25:00,43.2,28.4
2023-12-01 00:30:00,42.3,28.5
2023-12-01 00:35:00,42.1,28.7
2023-12-01 00:40:00,42.0,28.8
2023-12-01 00:45:00,42.5,28.7
2023-12-01 00:50:00,42.6,28.6
2023-12-01 00:55:00,42.3,28.7
2023-12-01 01:00:00,41.9,28.8
2023-12-01 01:05:00,41.9,28.8
2023-12-01 01:10:00,41.4,29.0
2023-12-01 01:15:00,43.5,28.3
2023-12-01 01:20:00,47.7,30.7
2023-12-01 01:25:00,48.8,31.9
2023-12-01 01:30:00,47.3,30.5
2023-12-01 01:35:00,43.5,28.6
2023-12-01 01:40:00,42.7,28.6
2023-12-01 01:45:00,42.6,28.5
2023-12-01 01:50:00,42.4,28.5
2023-12-01 01:55:00,43.7,28.1
2023-12-01 02:00:00,44.5,27.7
2023-12-01 02:05:00,45.6,27.3
2023-12-01 02:10:00,45.7,27.1
2023-12-01 02:15:00,46.6,27.2
2023-12-01 02:20:00,47.1,27.3
2023-12-01 02:25:00,46.8,27.2
2023-12-01 02:30:00,46.4,27.1
2023-12-01 02:35:00,46.7,27.2
2023-12-01 02:40:00,46.9,27.4
2023-12-01 02:45:00,46.6,27.4
2023-12-01 02:50:00,45.5,27.2
2023-12-01 02:55:00,46.9,27.3
2023-12-01 03:00:00,47.3,27.5
2023-12-01 03:05:00,48.1,28.0
2023-12-01 03:10:00,48.9,28.7
2023-12-01 03:15:00,48.4,28.4
2023-12-01 03:20:00,47.5,27.8
2023-12-01 03:25:00,45.0,27.4
2023-12-01 03:30:00,44.2,27.5
2023-12-01 03:35:00,43.2,28.0
2023-12-01 03:40:00,42.5,28.3
2023-12-01 03:45:00,43.4,28.3
2023-12-01 03:50:00,45.6,28.8
2023-12-01 03:55:00,45.7,28.9
2023-12-01 04:00:00,44.8,28.7
2023-12-01 04:05:00,42.4,28.5
2023-12-01 04:10:00,42.2,28.5
2023-12-01 04:15:00,42.1,28.5
2023-12-01 04:20:00,42.8,28.5
2023-12-01 04:25:00,42.8,28.5
2023-12-01 04:30:00,42.7,28.6
2023-12-01 04:35:00,42.3,28.7
2023-12-01 04:40:00,41.9,28.7
2023-12-01 04:45:00,41.8,28.7
2023-12-01 04:50:00,41.7,28.9
2023-12-01 04:55:00,42.0,28.9
2023-12-01 05:00:00,41.8,28.9
2023-12-01 05:05:00,41.9,28.9
2023-12-01 05:10:00,41.4,29.1
2023-12-01 05:15:00,41.3,29.1
2023-12-01 05:20:00,41.1,29.0
2023-12-01 05:25:00,41.3,28.9
2023-12-01 05:30:00,41.6,28.8
2023-12-01 05:35:00,41.8,28.7
2023-12-01 05:40:00,41.8,28.8
2023-12-01 05:45:00,41.9,28.8
2023-12-01 05:50:00,41.7,28.9
2023-12-01 05:55:00,41.7,28.8
2023-12-01 06:00:00,44.7,28.7
2023-12-01 06:05:00,48.3,29.4
2023-12-01 06:10:00,51.9,30.9
