Time,AKN,Energy,Std
2024-07-01 00:00:00,307.5,34.5,23.7
2024-07-01 00:05:00,307.5,34.5,23.7
2024-07-01 00:10:00,310.1,35.0,23.4
2024-07-01 00:15:00,307.7,35.5,23.1
2024-07-01 00:20:00,306.1,36.0,22.8
2024-07-01 00:25:00,302.9,35.6,23.0
2024-07-01 00:30:00,304.1,35.5,23.2
2024-07-01 00:35:00,302.6,34.7,23.6
2024-07-01 00:40:00,298.2,34.2,23.8
2024-07-01 00:45:00,294.9,34.2,23.8
2024-07-01 00:50:00,296.5,34.0,23.9
2024-07-01 00:55:00,293.4,34.3,23.8
2024-07-01 01:00:00,293.5,34.3,23.9
2024-07-01 01:05:00,286.7,34.8,23.6
2024-07-01 01:10:00,293.4,35.9,23.1
2024-07-01 01:15:00,291.3,36.3,23.0
2024-07-01 01:20:00,300.4,37.1,22.8
2024-07-01 01:25:00,301.2,36.1,23.1
2024-07-01 01:30:00,308.7,37.4,22.4
2024-07-01 01:35:00,310.5,38.4,22.1
2024-07-01 01:40:00,310.4,39.5,21.9
2024-07-01 01:45:00,310.6,39.1,22.1
2024-07-01 01:50:00,306.5,38.5,22.0
2024-07-01 01:55:00,309.4,39.0,21.8
2024-07-01 02:00:00,304.0,41.5,21.3
2024-07-01 02:05:00,297.2,44.0,21.1
2024-07-01 02:10:00,300.1,46.0,20.8
2024-07-01 02:15:00,308.3,46.2,20.4
2024-07-01 02:20:00,314.9,46.2,20.1
2024-07-01 02:25:00,315.6,46.2,20.3
2024-07-01 02:30:00,303.9,45.7,20.6
2024-07-01 02:35:00,303.9,44.7,20.8
2024-07-01 02:40:00,296.3,43.1,20.9
2024-07-01 02:45:00,307.3,41.7,21.2
2024-07-01 02:50:00,318.6,41.0,21.5
2024-07-01 02:55:00,315.2,41.3,21.5
2024-07-01 03:00:00,311.3,41.4,21.5
2024-07-01 03:05:00,294.9,41.5,21.4
2024-07-01 03:10:00,302.7,41.7,21.3
2024-07-01 03:15:00,301.0,41.7,21.2
2024-07-01 03:20:00,306.7,40.5,21.5
2024-07-01 03:25:00,303.9,40.1,21.7
2024-07-01 03:30:00,304.1,39.1,22.1
2024-07-01 03:35:00,315.1,42.8,22.8
2024-07-01 03:40:00,316.4,46.5,23.0
2024-07-01 03:45:00,316.0,44.6,22.7
2024-07-01 03:50:00,307.5,39.0,22.4
2024-07-01 03:55:00,301.8,34.3,23.8
2024-07-01 04:00:00,309.9,34.7,23.6
2024-07-01 04:05:00,318.0,34.6,23.5
2024-07-01 04:10:00,321.2,32.9,24.3
2024-07-01 04:15:00,320.7,32.3,24.6
2024-07-01 04:20:00,309.9,32.3,24.6
2024-07-01 04:25:00,313.1,31.7,25.0
2024-07-01 04:30:00,309.8,31.4,25.3
2024-07-01 04:35:00,307.0,31.3,25.3
2024-07-01 04:40:00,307.5,31.3,25.3
2024-07-01 04:45:00,312.7,31.9,25.1
2024-07-01 04:50:00,326.8,32.5,24.9
2024-07-01 04:55:00,328.8,33.3,24.6
2024-07-01 05:00:00,320.4,33.4,24.3
2024-07-01 05:05:00,316.7,33.5,24.2
2024-07-01 05:10:00,321.0,34.2,24.0
2024-07-01 05:15:00,326.5,38.2,23.0
2024-07-01 05:20:00,326.1,39.9,22.9
2024-07-01 05:25:00,326.3,39.7,23.0
2024-07-01 05:30:00,331.1,36.0,23.3
2024-07-01 05:35:00,332.0,34.3,23.9
2024-07-01 05:40:00,333.2,33.6,24.1
2024-07-01 05:45:00,324.8,32.7,24.6
2024-07-01 05:50:00,324.6,32.9,24.5
2024-07-01 05:55:00,323.2,35.2,23.4
2024-07-01 06:00:00,321.3,36.4,23.0
2024-07-01 06:05:00,327.5,36.2,23.1
2024-07-01 06:10:00,326.2,34.3,23.8
2024-07-01 06:15:00,340.3,34.4,23.8
2024-07-01 06:20:00,343.2,35.2,23.3
2024-07-01 06:25:00,338.0,35.2,23.4
2024-07-01 06:30:00,336.1,34.4,23.7
2024-07-01 06:35:00,325.5,33.3,24.2
2024-07-01 06:40:00,335.5,32.9,24.4
2024-07-01 06:45:00,340.1,33.1,24.3
2024-07-01 06:50:00,347.8,33.3,24.2
2024-07-01 06:55:00,356.0,33.6,24.1
2024-07-01 07:00:00,362.4,33.5,24.1
2024-07-01 07:05:00,363.1,34.4,23.8
2024-07-01 07:10:00,357.4,34.5,23.8
2024-07-01 07:15:00,342.3,35.3,23.5
2024-07-01 07:20:00,335.3,35.3,23.4
2024-07-01 07:25:00,340.1,36.6,23.0
2024-07-01 07:30:00,352.9,43.1,22.2
2024-07-01 07:35:00,363.3,42.4,22.2
2024-07-01 07:40:00,592.1,41.6,22.2
2024-07-01 07:45:00,587.4,35.7,23.2
2024-07-01 07:50:00,585.4,35.6,23.3
2024-07-01 07:55:00,362.0,34.9,23.5
2024-07-01 08:00:00,367.9,33.1,24.2
2024-07-01 08:05:00,371.1,34.0,23.8
2024-07-01 08:10:00,366.5,34.9,23.5
2024-07-01 08:15:00,363.7,35.1,23.4
2024-07-01 08:20:00,362.7,33.9,24.0
2024-07-01 08:25:00,363.0,33.0,24.5
2024-07-01 08:30:00,370.9,33.3,24.4
2024-07-01 08:35:00,396.7,33.2,24.5
2024-07-01 08:40:00,403.7,33.4,24.3
2024-07-01 08:45:00,421.4,33.6,24.3
2024-07-01 08:50:00,435.1,34.1,24.0
2024-07-01 08:55:00,445.7,34.3,23.9
2024-07-01 09:00:00,469.6,36.2,23.0
2024-07-01 09:05:00,493.1,36.6,22.9
2024-07-01 09:10:00,518.9,38.2,22.5
2024-07-01 09:15:00,550.8,37.3,22.8
2024-07-01 09:20:00,504.8,37.4,22.8
2024-07-01 09:25:00,474.9,37.5,22.6
2024-07-01 09:30:00,411.7,39.2,22.2
2024-07-01 09:35:00,446.5,40.1,22.1
2024-07-01 09:40:00,512.3,39.5,22.2
2024-07-01 09:45:00,557.4,37.3,22.7
2024-07-01 09:50:00,598.2,38.2,22.4
2024-07-01 09:55:00,548.0,38.4,22.3
2024-07-01 10:00:00,524.9,40.4,22.1
2024-07-01 10:05:00,516.8,39.4,22.2
2024-07-01 10:10:00,573.1,39.4,22.3
2024-07-01 10:15:00,623.9,37.4,22.8
2024-07-01 10:20:00,647.9,36.7,23.0
2024-07-01 10:25:00,613.4,36.4,23.1
2024-07-01 10:30:00,579.5,36.9,22.8
2024-07-01 10:35:00,550.4,38.5,22.3
2024-07-01 10:40:00,510.7,39.9,22.3
2024-07-01 10:45:00,479.9,39.5,22.4
2024-07-01 10:50:00,413.2,38.3,22.7
2024-07-01 10:55:00,417.4,38.0,22.6
2024-07-01 11:00:00,408.2,39.0,22.3
2024-07-01 11:05:00,422.4,41.2,22.0
2024-07-01 11:10:00,430.1,41.9,22.1
2024-07-01 11:15:00,463.9,43.1,22.1
2024-07-01 11:20:00,495.6,43.4,22.1
2024-07-01 11:25:00,570.6,46.8,22.3
2024-07-01 11:30:00,545.9,47.6,22.3
2024-07-01 11:35:00,565.2,47.2,22.2
2024-07-01 11:40:00,562.4,44.0,22.2
2024-07-01 11:45:00,547.2,43.9,22.1
2024-07-01 11:50:00,492.3,44.9,22.4
