Time,AKN,Energy,Std
2025-04-01 00:00:00,429.0,33.8,18.3
2025-04-01 00:05:00,429.0,33.8,18.3
2025-04-01 00:10:00,437.2,34.3,18.0
2025-04-01 00:15:00,435.8,33.1,17.3
2025-04-01 00:20:00,441.2,33.8,17.1
2025-04-01 00:25:00,440.4,34.3,18.5
2025-04-01 00:30:00,438.5,36.4,21.0
2025-04-01 00:35:00,431.2,34.2,19.9
2025-04-01 00:40:00,425.4,30.5,16.9
2025-04-01 00:45:00,418.8,27.9,14.8
2025-04-01 00:50:00,445.1,27.2,14.1
2025-04-01 00:55:00,453.7,29.5,15.5
2025-04-01 01:00:00,473.0,29.7,16.6
2025-04-01 01:05:00,455.1,29.6,17.0
2025-04-01 01:10:00,441.1,27.2,15.7
2025-04-01 01:15:00,429.6,27.9,17.2
2025-04-01 01:20:00,431.5,27.9,18.4
2025-04-01 01:25:00,446.2,28.7,20.1
2025-04-01 01:30:00,465.5,29.7,21.0
2025-04-01 01:35:00,470.6,31.0,21.4
2025-04-01 01:40:00,469.2,32.5,20.9
2025-04-01 01:45:00,460.0,30.9,17.3
2025-04-01 01:50:00,465.0,29.9,15.6
2025-04-01 01:55:00,461.5,28.4,16.0
2025-04-01 02:00:00,453.9,27.9,16.4
2025-04-01 02:05:00,456.0,28.5,16.8
2025-04-01 02:10:00,466.2,31.0,17.3
2025-04-01 02:15:00,483.1,33.2,17.6
2025-04-01 02:20:00,472.4,34.6,18.2
2025-04-01 02:25:00,466.6,32.6,16.2
2025-04-01 02:30:00,475.7,34.1,17.7
2025-04-01 02:35:00,488.3,35.5,18.9
2025-04-01 02:40:00,499.9,36.8,19.8
2025-04-01 02:45:00,492.4,39.4,21.3
2025-04-01 02:50:00,485.8,41.4,22.6
2025-04-01 02:55:00,479.1,42.7,24.6
2025-04-01 03:00:00,488.9,39.1,22.3
2025-04-01 03:05:00,492.5,33.1,18.3
2025-04-01 03:10:00,505.7,29.6,16.7
2025-04-01 03:15:00,491.4,28.1,16.9
2025-04-01 03:20:00,501.7,31.5,19.7
2025-04-01 03:25:00,500.5,35.0,20.5
2025-04-01 03:30:00,510.0,39.6,22.2
2025-04-01 03:35:00,507.7,41.5,25.6
2025-04-01 03:40:00,511.1,40.5,27.9
2025-04-01 03:45:00,523.3,38.0,26.6
2025-04-01 03:50:00,509.8,35.6,22.6
2025-04-01 03:55:00,511.3,35.4,19.3
2025-04-01 04:00:00,505.0,35.4,18.7
2025-04-01 04:05:00,523.4,38.6,20.2
2025-04-01 04:10:00,520.4,42.9,23.9
2025-04-01 04:15:00,525.7,42.5,23.3
2025-04-01 04:20:00,522.5,37.9,19.9
2025-04-01 04:25:00,533.3,31.3,16.2
2025-04-01 04:30:00,545.9,27.6,16.0
2025-04-01 04:35:00,566.5,24.9,15.4
2025-04-01 04:40:00,559.9,23.5,14.7
2025-04-01 04:45:00,543.3,23.1,14.6
2025-04-01 04:50:00,544.0,22.7,14.0
2025-04-01 04:55:00,567.2,22.7,14.2
2025-04-01 05:00:00,606.0,22.2,13.8
2025-04-01 05:05:00,603.5,22.8,13.5
2025-04-01 05:10:00,611.6,22.7,13.4
2025-04-01 05:15:00,584.2,21.8,12.4
2025-04-01 05:20:00,603.3,21.5,12.7
2025-04-01 05:25:00,588.3,21.5,12.6
2025-04-01 05:30:00,584.5,21.5,12.7
2025-04-01 05:35:00,567.5,21.8,13.0
2025-04-01 05:40:00,572.7,22.3,12.9
2025-04-01 05:45:00,583.4,24.0,13.4
2025-04-01 05:50:00,571.1,23.7,12.6
2025-04-01 05:55:00,568.1,23.3,12.5
2025-04-01 06:00:00,556.4,25.0,16.5
2025-04-01 06:05:00,587.3,26.8,18.9
2025-04-01 06:10:00,597.3,34.6,32.3
2025-04-01 06:15:00,625.8,32.2,26.5
2025-04-01 06:20:00,639.0,30.5,24.6
2025-04-01 06:25:00,653.4,23.7,14.8
2025-04-01 06:30:00,645.6,25.0,17.0
2025-04-01 06:35:00,628.0,25.3,17.5
2025-04-01 06:40:00,625.2,24.5,16.1
2025-04-01 06:45:00,630.3,22.7,13.6
2025-04-01 06:50:00,642.7,21.9,13.0
2025-04-01 06:55:00,626.6,22.1,13.2
2025-04-01 07:00:00,611.3,22.7,13.9
2025-04-01 07:05:00,591.9,22.4,13.5
2025-04-01 07:10:00,604.5,22.4,13.7
2025-04-01 07:15:00,606.8,22.4,13.7
2025-04-01 07:20:00,603.1,22.0,13.5
2025-04-01 07:25:00,590.5,20.7,12.6
2025-04-01 07:30:00,601.6,20.3,12.4
2025-04-01 07:35:00,623.9,20.6,12.5
2025-04-01 07:40:00,635.3,21.6,13.1
2025-04-01 07:45:00,633.3,23.1,15.4
2025-04-01 07:50:00,618.5,23.2,15.2
2025-04-01 07:55:00,619.7,24.1,15.0
2025-04-01 08:00:00,633.3,24.4,11.8
2025-04-01 08:05:00,656.8,25.7,11.6
2025-04-01 08:10:00,674.7,25.5,10.8
2025-04-01 08:15:00,698.4,25.4,11.2
2025-04-01 08:20:00,672.6,25.5,11.3
2025-04-01 08:25:00,658.4,25.6,11.6
2025-04-01 08:30:00,630.5,34.0,11.3
2025-04-01 08:35:00,640.2,39.4,12.2
2025-04-01 08:40:00,650.2,39.4,12.4
2025-04-01 08:45:00,677.6,30.3,12.3
2025-04-01 08:50:00,697.1,24.4,11.9
2025-04-01 08:55:00,688.5,24.5,11.7
2025-04-01 09:00:00,677.1,24.0,11.4
2025-04-01 09:05:00,670.3,23.5,11.3
2025-04-01 09:10:00,664.8,22.7,11.2
2025-04-01 09:15:00,641.7,22.8,11.3
2025-04-01 09:20:00,626.8,23.0,11.3
2025-04-01 09:25:00,643.6,23.2,11.6
2025-04-01 09:30:00,652.1,22.5,11.7
2025-04-01 09:35:00,652.1,21.8,12.0
2025-04-01 09:40:00,650.6,21.3,12.3
2025-04-01 09:45:00,661.1,21.7,12.8
2025-04-01 09:50:00,669.7,22.0,13.1
2025-04-01 09:55:00,665.8,22.5,13.3
2025-04-01 10:00:00,661.1,23.5,13.0
2025-04-01 10:05:00,663.3,24.8,13.3
2025-04-01 10:10:00,641.5,26.2,14.3
2025-04-01 10:15:00,632.6,25.3,14.2
2025-04-01 10:20:00,645.0,24.7,14.6
2025-04-01 10:25:00,673.5,24.9,13.6
2025-04-01 10:30:00,704.4,28.1,12.4
2025-04-01 10:35:00,711.9,31.4,12.4
2025-04-01 10:40:00,698.4,33.3,13.0
2025-04-01 10:45:00,686.2,32.8,13.5
2025-04-01 10:50:00,670.7,31.6,12.1
2025-04-01 10:55:00,697.9,37.3,12.9
2025-04-01 11:00:00,681.5,37.7,14.5
2025-04-01 11:05:00,688.5,37.2,14.1
2025-04-01 11:10:00,691.1,30.2,12.1
2025-04-01 11:15:00,711.7,29.9,11.4
2025-04-01 11:20:00,703.2,30.2,11.2
2025-04-01 11:25:00,678.4,29.6,10.4
2025-04-01 11:30:00,693.7,29.2,10.1
2025-04-01 11:35:00,717.1,29.3,10.3
2025-04-01 11:40:00,761.2,30.9,11.4
2025-04-01 11:45:00,760.9,31.4,12.0
2025-04-01 11:50:00,759.5,31.2,12.1
2025-04-01 11:55:00,742.5,31.5,12.2
2025-04-01 12:00:00,748.3,31.3,11.5
2025-04-01 12:05:00,721.9,30.9,11.1
2025-04-01 12:10:00,716.6,30.8,12.0
2025-04-01 12:15:00,676.5,30.3,12.1
2025-04-01 12:20:00,691.5,30.4,12.3
2025-04-01 12:25:00,685.6,29.3,10.9
2025-04-01 12:30:00,691.7,29.2,10.7
2025-04-01 12:35:00,686.4,29.9,11.1
2025-04-01 12:40:00,665.9,30.0,10.9
2025-04-01 12:45:00,677.0,32.0,14.2
2025-04-01 12:50:00,690.6,31.6,16.0
2025-04-01 12:55:00,707.9,29.3,17.2
2025-04-01 13:00:00,717.0,26.1,16.9
2025-04-01 13:05:00,726.9,23.6,16.6
2025-04-01 13:10:00,729.6,22.7,15.5
2025-04-01 13:15:00,723.8,22.1,14.0
2025-04-01 13:20:00,734.4,22.3,13.2
2025-04-01 13:25:00,732.6,23.7,14.4
2025-04-01 13:30:00,718.6,22.9,13.7
2025-04-01 13:35:00,697.5,23.0,14.5
2025-04-01 13:40:00,685.8,22.3,13.4
2025-04-01 13:45:00,725.3,22.7,13.6
2025-04-01 13:50:00,699.1,21.7,12.8
