Digitiser	Starttime	Endtime
A901	2024-01-18T00:00:00.000000Z	2024-01-18T23:59:59.999000Z
A350	2024-01-18T00:00:00.000000Z	2024-01-18T23:59:59.999000Z
A322	2024-01-18T00:00:00.000000Z	2024-01-18T23:59:59.999000Z
A957	2024-01-19T00:00:00.000000Z	2024-01-19T23:59:59.999000Z
A901	2024-01-19T00:00:00.000000Z	2024-01-19T23:59:59.999000Z
A350	2024-01-19T00:00:00.000000Z	2024-01-19T23:59:59.999000Z
A322	2024-01-19T00:00:00.000000Z	2024-01-19T23:59:59.999000Z
A957	2024-01-20T00:00:00.000000Z	2024-01-20T23:59:59.999000Z
A901	2024-01-20T00:00:00.000000Z	2024-01-20T23:59:59.999000Z
A350	2024-01-20T00:00:00.000000Z	2024-01-20T23:59:59.999000Z
A322	2024-01-20T00:00:00.000000Z	2024-01-20T23:59:59.999000Z
A957	2024-01-21T00:00:00.000000Z	2024-01-21T23:59:59.999000Z
A901	2024-01-21T00:00:00.000000Z	2024-01-21T23:59:59.999000Z
A350	2024-01-21T00:00:00.000000Z	2024-01-21T23:59:59.999000Z
A322	2024-01-21T00:00:00.000000Z	2024-01-21T23:59:59.999000Z
A957	2024-01-22T00:00:00.000000Z	2024-01-22T23:59:59.999000Z
A901	2024-01-22T00:00:00.000000Z	2024-01-22T23:59:59.999000Z
A350	2024-01-22T00:00:00.000000Z	2024-01-22T23:59:59.999000Z
A322	2024-01-22T00:00:00.000000Z	2024-01-22T23:59:59.999000Z
A957	2024-01-23T00:00:00.000000Z	2024-01-23T14:59:59.999000Z
A901	2024-01-23T00:00:00.000000Z	2024-01-23T14:59:59.999000Z
A350	2024-01-23T00:00:00.000000Z	2024-01-23T14:59:59.999000Z
A322	2024-01-23T00:00:00.000000Z	2024-01-23T14:59:59.999000Z
A957	2024-01-23T16:35:00.000000Z	2024-01-23T23:59:59.999000Z
A901	2024-01-23T16:35:00.000000Z	2024-01-23T23:59:59.999000Z
A350	2024-01-23T16:35:00.000000Z	2024-01-23T23:59:59.999000Z
A322	2024-01-23T16:35:00.000000Z	2024-01-23T23:59:59.999000Z
A957	2024-01-24T00:00:00.000000Z	2024-01-24T23:59:59.999000Z
A901	2024-01-24T00:00:00.000000Z	2024-01-24T23:59:59.999000Z
A350	2024-01-24T00:00:00.000000Z	2024-01-24T23:59:59.999000Z
A322	2024-01-24T00:00:00.000000Z	2024-01-24T23:59:59.999000Z
A957	2024-01-25T00:00:00.000000Z	2024-01-25T23:59:59.999000Z
A901	2024-01-25T00:00:00.000000Z	2024-01-25T23:59:59.999000Z
A350	2024-01-25T00:00:00.000000Z	2024-01-25T23:59:59.999000Z
A322	2024-01-25T00:00:00.000000Z	2024-01-25T23:59:59.999000Z
A957	2024-01-26T00:00:00.000000Z	2024-01-26T23:59:59.999000Z
A901	2024-01-26T00:00:00.000000Z	2024-01-26T23:59:59.999000Z
A350	2024-01-26T00:00:00.000000Z	2024-01-26T23:59:59.999000Z
A322	2024-01-26T00:00:00.000000Z	2024-01-26T23:59:59.999000Z
A957	2024-01-27T00:00:00.000000Z	2024-01-27T23:59:59.999000Z
A901	2024-01-27T00:00:00.000000Z	2024-01-27T23:59:59.999000Z
A350	2024-01-27T00:00:00.000000Z	2024-01-27T23:59:59.999000Z
A322	2024-01-27T00:00:00.000000Z	2024-01-27T23:59:59.999000Z
A957	2024-01-28T00:00:00.000000Z	2024-01-28T23:59:59.999000Z
A901	2024-01-28T00:00:00.000000Z	2024-01-28T23:59:59.999000Z
A350	2024-01-28T00:00:00.000000Z	2024-01-28T23:59:59.999000Z
A322	2024-01-28T00:00:00.000000Z	2024-01-28T23:59:59.999000Z
A957	2024-01-29T00:00:00.000000Z	2024-01-29T14:54:59.999000Z
A901	2024-01-29T00:00:00.000000Z	2024-01-29T14:54:59.999000Z
A350	2024-01-29T00:00:00.000000Z	2024-01-29T14:54:59.999000Z
A322	2024-01-29T00:00:00.000000Z	2024-01-29T14:54:59.999000Z
