Digitiser	Starttime	Endtime
A957	2021-01-01T00:00:00.000000Z	2021-01-01T23:59:59.999000Z
A901	2021-01-01T00:00:00.000000Z	2021-01-01T23:59:59.999000Z
A350	2021-01-01T00:00:00.000000Z	2021-01-01T23:59:59.999000Z
A322	2021-01-01T00:00:00.000000Z	2021-01-01T23:59:59.999000Z
A350	2021-01-02T00:00:00.000000Z	2021-01-02T22:59:59.999000Z
A901	2021-01-02T00:00:00.000000Z	2021-01-02T22:59:59.999000Z
A322	2021-01-02T00:00:00.000000Z	2021-01-02T22:59:59.999000Z
A957	2021-01-02T00:00:00.000000Z	2021-01-02T22:59:59.999000Z
A957	2021-01-02T23:40:00.000000Z	2021-01-02T23:44:59.999000Z
A322	2021-01-02T23:40:00.000000Z	2021-01-02T23:44:59.999000Z
A901	2021-01-02T23:40:00.000000Z	2021-01-02T23:44:59.999000Z
A350	2021-01-02T23:40:00.000000Z	2021-01-02T23:44:59.999000Z
A901	2021-01-03T00:00:00.000000Z	2021-01-03T23:59:59.999000Z
A322	2021-01-03T00:00:00.000000Z	2021-01-03T23:59:59.999000Z
A350	2021-01-03T00:00:00.000000Z	2021-01-03T23:59:59.999000Z
A957	2021-01-03T00:00:00.000000Z	2021-01-03T23:59:59.999000Z
A901	2021-01-04T00:00:00.000000Z	2021-01-04T23:59:59.999000Z
A957	2021-01-04T00:00:00.000000Z	2021-01-04T23:59:59.999000Z
A322	2021-01-04T00:00:00.000000Z	2021-01-04T23:59:59.999000Z
A350	2021-01-04T00:00:00.000000Z	2021-01-04T23:59:59.999000Z
A957	2021-01-05T00:00:00.000000Z	2021-01-05T23:59:59.999000Z
A901	2021-01-05T00:00:00.000000Z	2021-01-05T23:59:59.999000Z
A350	2021-01-05T00:00:00.000000Z	2021-01-05T23:59:59.999000Z
A322	2021-01-05T00:00:00.000000Z	2021-01-05T23:59:59.999000Z
A901	2021-01-06T00:00:00.000000Z	2021-01-06T23:59:59.999000Z
A957	2021-01-06T00:00:00.000000Z	2021-01-06T23:59:59.999000Z
A322	2021-01-06T00:00:00.000000Z	2021-01-06T23:59:59.999000Z
A350	2021-01-06T00:00:00.000000Z	2021-01-06T23:59:59.999000Z
A350	2021-01-07T00:00:00.000000Z	2021-01-07T23:59:59.999000Z
A322	2021-01-07T00:00:00.000000Z	2021-01-07T23:59:59.999000Z
A957	2021-01-07T00:00:00.000000Z	2021-01-07T23:59:59.999000Z
A901	2021-01-07T00:00:00.000000Z	2021-01-07T23:59:59.999000Z
A901	2021-01-08T00:00:00.000000Z	2021-01-08T12:34:59.999000Z
A350	2021-01-08T00:00:00.000000Z	2021-01-08T12:34:59.999000Z
A957	2021-01-08T00:00:00.000000Z	2021-01-08T12:34:59.999000Z
A322	2021-01-08T00:00:00.000000Z	2021-01-08T12:34:59.999000Z
A901	2021-01-08T12:40:00.000000Z	2021-01-08T12:44:59.999000Z
A350	2021-01-08T13:00:00.000000Z	2021-01-08T13:04:59.999000Z
A322	2021-01-08T13:00:00.000000Z	2021-01-08T13:04:59.999000Z
A322	2021-01-08T16:05:00.000000Z	2021-01-08T16:09:59.999000Z
A350	2021-01-08T16:05:00.000000Z	2021-01-08T16:09:59.999000Z
A957	2021-01-08T16:05:00.000000Z	2021-01-08T16:09:59.999000Z
A322	2021-01-08T16:35:00.000000Z	2021-01-08T16:39:59.999000Z
A350	2021-01-08T16:35:00.000000Z	2021-01-08T16:39:59.999000Z
A957	2021-01-08T16:35:00.000000Z	2021-01-08T16:39:59.999000Z
A901	2021-01-08T16:50:00.000000Z	2021-01-08T16:54:59.999000Z
A322	2021-01-08T17:05:00.000000Z	2021-01-08T17:09:59.999000Z
A350	2021-01-08T17:05:00.000000Z	2021-01-08T17:09:59.999000Z
A957	2021-01-08T17:05:00.000000Z	2021-01-08T17:09:59.999000Z
A901	2021-01-08T17:35:00.000000Z	2021-01-08T17:39:59.999000Z
A350	2021-01-08T17:35:00.000000Z	2021-01-08T17:39:59.999000Z
