Digitiser	Starttime	Endtime
A957	2022-01-06T09:35:00.000000Z	2022-01-06T09:39:59.999000Z
A901	2022-01-06T09:35:00.000000Z	2022-01-06T09:39:59.999000Z
A322	2022-01-06T09:35:00.000000Z	2022-01-06T09:39:59.999000Z
A350	2022-01-06T13:30:00.000000Z	2022-01-06T13:34:59.999000Z
A957	2022-01-07T00:00:00.000000Z	2022-01-07T23:59:59.999000Z
A901	2022-01-07T00:00:00.000000Z	2022-01-07T23:59:59.999000Z
A350	2022-01-07T00:00:00.000000Z	2022-01-07T23:59:59.999000Z
A322	2022-01-07T00:00:00.000000Z	2022-01-07T23:59:59.999000Z
A901	2022-01-08T00:00:00.000000Z	2022-01-08T23:59:59.999000Z
A957	2022-01-08T00:00:00.000000Z	2022-01-08T23:59:59.999000Z
A322	2022-01-08T00:00:00.000000Z	2022-01-08T23:59:59.999000Z
A350	2022-01-08T00:00:00.000000Z	2022-01-08T23:59:59.999000Z
A957	2022-01-09T00:00:00.000000Z	2022-01-09T23:59:59.999000Z
A350	2022-01-09T00:00:00.000000Z	2022-01-09T23:59:59.999000Z
A901	2022-01-09T00:00:00.000000Z	2022-01-09T23:59:59.999000Z
A322	2022-01-09T00:00:00.000000Z	2022-01-09T23:59:59.999000Z
A901	2022-01-10T00:00:00.000000Z	2022-01-10T23:59:59.999000Z
A322	2022-01-10T00:00:00.000000Z	2022-01-10T23:59:59.999000Z
A957	2022-01-10T00:00:00.000000Z	2022-01-10T23:59:59.999000Z
A350	2022-01-10T00:00:00.000000Z	2022-01-10T23:59:59.999000Z
A322	2022-01-11T00:00:00.000000Z	2022-01-11T23:59:59.999000Z
A957	2022-01-11T00:00:00.000000Z	2022-01-11T23:59:59.999000Z
A901	2022-01-11T00:00:00.000000Z	2022-01-11T23:59:59.999000Z
A350	2022-01-11T00:00:00.000000Z	2022-01-11T23:59:59.999000Z
A901	2022-01-12T00:00:00.000000Z	2022-01-12T23:59:59.999000Z
A350	2022-01-12T00:00:00.000000Z	2022-01-12T23:59:59.999000Z
A322	2022-01-12T00:00:00.000000Z	2022-01-12T23:59:59.999000Z
A957	2022-01-12T00:00:00.000000Z	2022-01-12T23:59:59.999000Z
A350	2022-01-13T00:00:00.000000Z	2022-01-13T23:59:59.999000Z
A957	2022-01-13T00:00:00.000000Z	2022-01-13T23:59:59.999000Z
A901	2022-01-13T00:00:00.000000Z	2022-01-13T23:59:59.999000Z
A322	2022-01-13T00:00:00.000000Z	2022-01-13T23:59:59.999000Z
A901	2022-01-14T00:00:00.000000Z	2022-01-14T23:59:59.999000Z
A350	2022-01-14T00:00:00.000000Z	2022-01-14T23:59:59.999000Z
A957	2022-01-14T00:00:00.000000Z	2022-01-14T23:59:59.999000Z
A322	2022-01-14T00:00:00.000000Z	2022-01-14T23:59:59.999000Z
A901	2022-01-15T00:00:00.000000Z	2022-01-15T23:59:59.999000Z
A957	2022-01-15T00:00:00.000000Z	2022-01-15T23:59:59.999000Z
A322	2022-01-15T00:00:00.000000Z	2022-01-15T23:59:59.999000Z
A350	2022-01-15T00:00:00.000000Z	2022-01-15T23:59:59.999000Z
A322	2022-01-16T00:00:00.000000Z	2022-01-16T06:04:59.999000Z
A957	2022-01-16T00:00:00.000000Z	2022-01-16T06:04:59.999000Z
A350	2022-01-16T00:00:00.000000Z	2022-01-16T06:04:59.999000Z
A901	2022-01-16T00:00:00.000000Z	2022-01-16T06:04:59.999000Z
A350	2022-01-16T06:10:00.000000Z	2022-01-16T06:14:59.999000Z
A957	2022-01-16T06:10:00.000000Z	2022-01-16T06:14:59.999000Z
A322	2022-01-16T06:10:00.000000Z	2022-01-16T06:14:59.999000Z
A901	2022-01-16T06:10:00.000000Z	2022-01-16T06:14:59.999000Z
A957	2022-01-17T00:00:00.000000Z	2022-01-17T23:59:59.999000Z
A322	2022-01-17T00:00:00.000000Z	2022-01-17T23:59:59.999000Z
A901	2022-01-17T00:00:00.000000Z	2022-01-17T23:59:59.999000Z
A350	2022-01-17T00:00:00.000000Z	2022-01-17T23:59:59.999000Z
A322	2022-01-18T00:00:00.000000Z	2022-01-18T23:59:59.999000Z
A350	2022-01-18T00:00:00.000000Z	2022-01-18T23:59:59.999000Z
A901	2022-01-18T00:00:00.000000Z	2022-01-18T23:59:59.999000Z
A957	2022-01-18T00:00:00.000000Z	2022-01-18T23:59:59.999000Z
A957	2022-01-19T00:00:00.000000Z	2022-01-19T23:59:59.999000Z
A322	2022-01-19T00:00:00.000000Z	2022-01-19T23:59:59.999000Z
A350	2022-01-19T00:00:00.000000Z	2022-01-19T23:59:59.999000Z
A901	2022-01-19T00:00:00.000000Z	2022-01-19T23:59:59.999000Z
A957	2022-01-20T00:00:00.000000Z	2022-01-20T23:59:59.999000Z
A901	2022-01-20T00:00:00.000000Z	2022-01-20T23:59:59.999000Z
A350	2022-01-20T00:00:00.000000Z	2022-01-20T23:59:59.999000Z
A322	2022-01-20T00:00:00.000000Z	2022-01-20T23:59:59.999000Z
A350	2022-01-21T00:00:00.000000Z	2022-01-21T23:59:59.999000Z
A322	2022-01-21T00:00:00.000000Z	2022-01-21T23:59:59.999000Z
A901	2022-01-21T00:00:00.000000Z	2022-01-21T23:59:59.999000Z
A957	2022-01-21T00:00:00.000000Z	2022-01-21T23:59:59.999000Z
A957	2022-01-22T00:00:00.000000Z	2022-01-22T23:59:59.999000Z
A350	2022-01-22T00:00:00.000000Z	2022-01-22T23:59:59.999000Z
A901	2022-01-22T00:00:00.000000Z	2022-01-22T23:59:59.999000Z
A322	2022-01-22T00:00:00.000000Z	2022-01-22T23:59:59.999000Z
A350	2022-01-23T00:00:00.000000Z	2022-01-23T23:59:59.999000Z
A957	2022-01-23T00:00:00.000000Z	2022-01-23T23:59:59.999000Z
A322	2022-01-23T00:00:00.000000Z	2022-01-23T23:59:59.999000Z
A901	2022-01-23T00:00:00.000000Z	2022-01-23T23:59:59.999000Z
A901	2022-01-24T00:00:00.000000Z	2022-01-24T23:59:59.999000Z
A322	2022-01-24T00:00:00.000000Z	2022-01-24T23:59:59.999000Z
A350	2022-01-24T00:00:00.000000Z	2022-01-24T23:59:59.999000Z
A957	2022-01-24T00:00:00.000000Z	2022-01-24T23:59:59.999000Z
A901	2022-01-25T00:00:00.000000Z	2022-01-25T23:59:59.999000Z
A322	2022-01-25T00:00:00.000000Z	2022-01-25T23:59:59.999000Z
A957	2022-01-25T00:00:00.000000Z	2022-01-25T23:59:59.999000Z
A350	2022-01-25T00:00:00.000000Z	2022-01-25T23:59:59.999000Z
A901	2022-01-26T00:00:00.000000Z	2022-01-26T23:59:59.999000Z
A957	2022-01-26T00:00:00.000000Z	2022-01-26T23:59:59.999000Z
A322	2022-01-26T00:00:00.000000Z	2022-01-26T23:59:59.999000Z
A350	2022-01-26T00:00:00.000000Z	2022-01-26T23:59:59.999000Z
A350	2022-01-27T00:00:00.000000Z	2022-01-27T23:59:59.999000Z
A957	2022-01-27T00:00:00.000000Z	2022-01-27T23:59:59.999000Z
A901	2022-01-27T00:00:00.000000Z	2022-01-27T23:59:59.999000Z
A322	2022-01-27T00:00:00.000000Z	2022-01-27T23:59:59.999000Z
A322	2022-01-28T00:00:00.000000Z	2022-01-28T23:59:59.999000Z
A901	2022-01-28T00:00:00.000000Z	2022-01-28T23:59:59.999000Z
A350	2022-01-28T00:00:00.000000Z	2022-01-28T23:59:59.999000Z
A957	2022-01-28T00:00:00.000000Z	2022-01-28T23:59:59.999000Z
A322	2022-01-29T00:00:00.000000Z	2022-01-29T23:59:59.999000Z
