Digitiser	Starttime	Endtime
A957	2023-01-01T00:00:00.000000Z	2023-01-01T23:59:59.999000Z
A901	2023-01-01T00:00:00.000000Z	2023-01-01T23:59:59.999000Z
A350	2023-01-01T00:00:00.000000Z	2023-01-01T23:59:59.999000Z
A322	2023-01-01T00:00:00.000000Z	2023-01-01T23:59:59.999000Z
A957	2023-01-02T00:00:00.000000Z	2023-01-02T23:59:59.999000Z
A901	2023-01-02T00:00:00.000000Z	2023-01-02T23:59:59.999000Z
A350	2023-01-02T00:00:00.000000Z	2023-01-02T23:59:59.999000Z
A322	2023-01-02T00:00:00.000000Z	2023-01-02T23:59:59.999000Z
A901	2023-01-03T00:00:00.000000Z	2023-01-03T23:59:59.999000Z
A957	2023-01-03T00:00:00.000000Z	2023-01-03T23:59:59.999000Z
A322	2023-01-03T00:00:00.000000Z	2023-01-03T23:59:59.999000Z
A350	2023-01-03T00:00:00.000000Z	2023-01-03T23:59:59.999000Z
A350	2023-01-04T00:00:00.000000Z	2023-01-04T23:59:59.999000Z
A901	2023-01-04T00:00:00.000000Z	2023-01-04T23:59:59.999000Z
A957	2023-01-04T00:00:00.000000Z	2023-01-04T23:59:59.999000Z
A322	2023-01-04T00:00:00.000000Z	2023-01-04T23:59:59.999000Z
A322	2023-01-05T00:00:00.000000Z	2023-01-05T23:59:59.999000Z
A957	2023-01-05T00:00:00.000000Z	2023-01-05T23:59:59.999000Z
A350	2023-01-05T00:00:00.000000Z	2023-01-05T23:59:59.999000Z
A901	2023-01-05T00:00:00.000000Z	2023-01-05T23:59:59.999000Z
A350	2023-01-06T00:00:00.000000Z	2023-01-06T23:59:59.999000Z
A322	2023-01-06T00:00:00.000000Z	2023-01-06T23:59:59.999000Z
A957	2023-01-06T00:00:00.000000Z	2023-01-06T23:59:59.999000Z
A901	2023-01-06T00:00:00.000000Z	2023-01-06T23:59:59.999000Z
A957	2023-01-07T00:00:00.000000Z	2023-01-07T23:59:59.999000Z
A322	2023-01-07T00:00:00.000000Z	2023-01-07T23:59:59.999000Z
A901	2023-01-07T00:00:00.000000Z	2023-01-07T23:59:59.999000Z
A350	2023-01-07T00:00:00.000000Z	2023-01-07T23:59:59.999000Z
A901	2023-01-08T00:00:00.000000Z	2023-01-08T23:59:59.999000Z
A957	2023-01-08T00:00:00.000000Z	2023-01-08T23:59:59.999000Z
A322	2023-01-08T00:00:00.000000Z	2023-01-08T23:59:59.999000Z
A350	2023-01-08T00:00:00.000000Z	2023-01-08T23:59:59.999000Z
A322	2023-01-09T00:00:00.000000Z	2023-01-09T23:59:59.999000Z
A957	2023-01-09T00:00:00.000000Z	2023-01-09T23:59:59.999000Z
A901	2023-01-09T00:00:00.000000Z	2023-01-09T23:59:59.999000Z
A350	2023-01-09T00:00:00.000000Z	2023-01-09T23:59:59.999000Z
A901	2023-01-10T00:00:00.000000Z	2023-01-10T23:59:59.999000Z
A350	2023-01-10T00:00:00.000000Z	2023-01-10T23:59:59.999000Z
A957	2023-01-10T00:00:00.000000Z	2023-01-10T23:59:59.999000Z
A322	2023-01-10T00:00:00.000000Z	2023-01-10T23:59:59.999000Z
